time,nb_dead_node,nb_package
1,0,600
101,0,600
201,0,600
301,0,600
401,0,600
501,0,600
601,0,600
701,0,600
801,0,600
901,0,600
1001,0,600
1101,0,600
1201,0,600
1301,0,600
1401,0,600
1501,0,600
1601,0,600
1701,0,600
1801,0,600
1901,0,600
2001,0,600
2101,0,600
2201,0,600
2301,0,600
2401,0,600
2501,0,600
2601,0,600
2701,0,600
2801,0,600
2901,0,600
3001,0,600
3101,0,600
3201,0,600
3301,0,600
3401,0,600
3501,0,600
3601,0,600
3701,0,600
3801,0,600
3901,0,600
4001,0,600
4101,0,600
4201,0,600
4301,0,600
4401,0,600
4501,0,600
4601,0,600
4701,0,600
4801,0,600
4901,0,600
5001,0,600
5101,0,600
5201,0,600
5301,0,600
5401,0,600
5501,0,600
5601,0,600
5701,0,600
5801,0,600
5901,0,600
6001,0,600
6101,0,600
6201,0,600
6301,0,600
6401,0,600
6501,0,600
6601,0,600
6701,0,600
6801,0,600
6901,0,600
7001,0,600
7101,0,600
7201,0,600
7301,0,600
7401,0,600
7501,0,600
7601,0,600
7701,0,600
7801,0,600
7901,0,600
8001,0,600
8101,0,600
8201,0,600
8301,0,600
8401,0,600
8501,0,600
8601,0,600
8701,0,600
8801,0,600
8901,0,600
9001,0,600
9101,0,600
9201,0,600
9301,0,600
9401,0,600
9501,0,600
9601,0,600
9701,0,600
9801,0,600
9901,0,600
10001,0,600
10101,0,600
10201,0,600
10301,0,600
10401,0,600
10501,0,600
10601,0,600
10701,0,600
10801,0,600
10901,0,600
11001,0,600
11101,0,600
11201,0,600
11301,0,600
11398,1,569
11401,1,569
11501,1,569
11601,1,569
11701,1,569
11776,2,569
11801,2,569
11901,2,569
12001,2,569
12101,2,569
12201,2,569
12301,2,569
12401,2,569
12501,2,569
12601,2,569
12701,2,569
12801,2,569
12817,3,569
12901,3,569
13001,3,569
13101,3,569
13201,3,569
13301,3,569
13401,3,569
13501,3,569
13601,3,569
13701,3,569
13801,3,569
13901,3,569
14001,3,569
14101,3,569
14201,3,569
14301,3,569
14401,3,569
14501,3,569
14601,3,569
14701,3,569
14801,3,569
14901,3,569
15001,3,569
15101,3,569
15201,3,569
15301,3,569
15401,3,569
15501,3,569
15601,3,569
15615,4,569
15701,4,569
15801,4,569
15901,4,569
16001,4,569
16101,4,569
16201,4,569
16301,4,569
16401,4,569
16501,4,569
16601,4,569
16701,4,569
16801,4,569
16901,4,569
16955,5,568
16963,6,567
17001,6,567
17101,6,567
17201,6,567
17301,6,567
17401,6,567
17501,6,567
17601,6,567
17701,6,567
17801,6,567
17810,7,566
17901,7,566
18001,7,566
18101,7,566
18201,7,566
18237,8,566
18301,8,566
18401,8,566
18501,8,566
18601,8,566
18701,8,566
18801,8,566
18901,8,566
19001,8,566
19101,8,566
19201,8,566
19301,8,566
19401,8,566
19501,8,566
19601,8,566
19701,8,566
19801,8,566
19901,8,566
20001,8,566
20101,8,566
20201,8,566
20301,8,566
20401,8,566
20500,9,552
20501,9,552
20601,9,552
20701,9,552
20801,9,552
20901,9,552
21001,9,552
21101,9,552
21201,9,552
21301,9,552
21401,9,552
21501,9,552
21569,10,552
21601,10,552
21701,10,552
21801,10,552
21901,10,552
22001,10,552
22101,10,552
22201,10,552
22301,10,552
22401,10,552
22501,10,552
22601,10,552
22701,10,552
22801,10,552
22901,10,552
23001,10,552
23101,10,552
23201,10,552
23301,10,552
23401,10,552
23501,10,552
23601,10,552
23701,10,552
23801,10,552
23901,10,552
24001,10,552
24101,10,552
24201,10,552
24301,10,552
24401,10,552
24501,10,552
24601,10,552
24701,10,552
24801,10,552
24901,10,552
25001,10,552
25101,10,552
25201,10,552
25301,10,552
25401,10,552
25501,10,552
25601,10,552
25701,10,552
25801,10,552
25901,10,552
26001,10,552
26101,10,552
26201,10,552
26301,10,552
26401,10,552
26501,10,552
26601,10,552
26701,10,552
26801,10,552
26875,11,551
26901,11,551
27001,11,551
27015,12,550
27101,12,550
27201,12,550
27301,12,550
27401,12,550
27501,12,550
27601,12,550
27701,12,550
27801,12,550
27901,12,550
28001,12,550
28101,12,550
28201,12,550
28301,12,550
28401,12,550
28501,12,550
28601,12,550
28701,12,550
28801,12,550
28901,12,550
29001,12,550
29101,12,550
29201,12,550
29301,12,550
29401,12,550
29501,12,550
29601,12,550
29701,12,550
29801,12,550
