time,nb_dead_node,nb_package
1,0,500
101,0,500
201,0,500
301,0,500
401,0,500
501,0,500
601,0,500
701,0,500
801,0,500
901,0,500
1001,0,500
1101,0,500
1201,0,500
1301,0,500
1401,0,500
1501,0,500
1601,0,500
1701,0,500
1801,0,500
1901,0,500
2001,0,500
2101,0,500
2201,0,500
2301,0,500
2401,0,500
2501,0,500
2601,0,500
2701,0,500
2801,0,500
2901,0,500
3001,0,500
3101,0,500
3201,0,500
3301,0,500
3401,0,500
3501,0,500
3601,0,500
3701,0,500
3801,0,500
3901,0,500
4001,0,500
4101,0,500
4201,0,500
4301,0,500
4401,0,500
4501,0,500
4601,0,500
4701,0,500
4801,0,500
4901,0,500
5001,0,500
5101,0,500
5201,0,500
5301,0,500
5401,0,500
5501,0,500
5601,0,500
5701,0,500
5801,0,500
5901,0,500
6001,0,500
6101,0,500
6201,0,500
6301,0,500
6401,0,500
6501,0,500
6601,0,500
6701,0,500
6801,0,500
6901,0,500
7001,0,500
7101,0,500
7201,0,500
7301,0,500
7401,0,500
7501,0,500
7601,0,500
7701,0,500
7801,0,500
7901,0,500
8001,0,500
8101,0,500
8201,0,500
8301,0,500
8401,0,500
8501,0,500
8601,0,500
8701,0,500
8801,0,500
8901,0,500
9001,0,500
9101,0,500
9201,0,500
9301,0,500
9401,0,500
9501,0,500
9601,0,500
9701,0,500
9801,0,500
9901,0,500
10001,0,500
10101,0,500
10201,0,500
10301,0,500
10401,0,500
10501,0,500
10601,0,500
10701,0,500
10801,0,500
10901,0,500
11001,0,500
11101,0,500
11201,0,500
11301,0,500
11401,0,500
11501,0,500
11601,0,500
11701,0,500
11801,0,500
11901,0,500
12001,0,500
12101,0,500
12201,0,500
12301,0,500
12401,0,500
12501,0,500
12601,0,500
12701,0,500
12801,0,500
12901,0,500
13001,0,500
13101,0,500
13201,0,500
13301,0,500
13401,0,500
13501,0,500
13601,0,500
13701,0,500
13801,0,500
13901,0,500
14001,0,500
14101,0,500
14201,0,500
14301,0,500
14401,0,500
14501,0,500
14601,0,500
14701,0,500
14801,0,500
14901,0,500
15001,0,500
15101,0,500
15201,0,500
15301,0,500
15401,0,500
15501,0,500
15601,0,500
15701,0,500
15801,0,500
15901,0,500
16001,0,500
16101,0,500
